[2021-02-20 16:24:12,127 | db.py, __init__, line 48 | INFO] init db
[2021-02-20 16:24:12,271 | base.py, _execute_context, line 1234 | INFO] SHOW VARIABLES LIKE 'sql_mode'
[2021-02-20 16:24:12,271 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,281 | base.py, _execute_context, line 1234 | INFO] SHOW VARIABLES LIKE 'lower_case_table_names'
[2021-02-20 16:24:12,281 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,297 | base.py, _execute_context, line 1234 | INFO] SELECT DATABASE()
[2021-02-20 16:24:12,297 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,306 | base.py, _execute_context, line 1234 | INFO] show collation where `Charset` = 'utf8mb4' and `Collation` = 'utf8mb4_bin'
[2021-02-20 16:24:12,306 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,312 | base.py, _cursor_execute, line 1340 | INFO] SELECT CAST('test plain returns' AS CHAR(60)) AS anon_1
[2021-02-20 16:24:12,312 | base.py, _cursor_execute, line 1341 | INFO] {}
[2021-02-20 16:24:12,351 | base.py, _cursor_execute, line 1340 | INFO] SELECT CAST('test unicode returns' AS CHAR(60)) AS anon_1
[2021-02-20 16:24:12,351 | base.py, _cursor_execute, line 1341 | INFO] {}
[2021-02-20 16:24:12,354 | base.py, _cursor_execute, line 1340 | INFO] SELECT CAST('test collated returns' AS CHAR CHARACTER SET utf8mb4) COLLATE utf8mb4_bin AS anon_1
[2021-02-20 16:24:12,355 | base.py, _cursor_execute, line 1341 | INFO] {}
[2021-02-20 16:24:12,367 | base.py, _execute_context, line 1234 | INFO] SHOW FULL TABLES FROM `forest`
[2021-02-20 16:24:12,368 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,391 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `auth_group`
[2021-02-20 16:24:12,391 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,395 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `auth_group_permissions`
[2021-02-20 16:24:12,395 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,406 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `auth_permission`
[2021-02-20 16:24:12,406 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,412 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `django_content_type`
[2021-02-20 16:24:12,412 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,419 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `django_admin_log`
[2021-02-20 16:24:12,419 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,471 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_user`
[2021-02-20 16:24:12,471 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,479 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_employee`
[2021-02-20 16:24:12,480 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,495 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_department`
[2021-02-20 16:24:12,495 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,518 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `django_migrations`
[2021-02-20 16:24:12,518 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,525 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `django_session`
[2021-02-20 16:24:12,525 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,537 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `equota_local_cons`
[2021-02-20 16:24:12,538 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,561 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `equota_local_courts`
[2021-02-20 16:24:12,561 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,579 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `equota_local_courts_line`
[2021-02-20 16:24:12,579 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,586 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `equota_local_gb_rydl`
[2021-02-20 16:24:12,587 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,609 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `equota_local_line`
[2021-02-20 16:24:12,609 | base.py, _execute_context, line 1239 | INFO] {}
